Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,Final Score,Critical Failure Rate,Context Recall,Context Precision,Retrieval Time (s),Inference Time (s),Chunk Recall@3,Chunk Recall@10,Chunk MRR@10
MedGemma 4b,02_agentic,Agentic RAG,faceis,Fáceis,0.75848,53.333333333333336,0.9466666666666668,0.5333333333333333,2.493266666666666,5.141333333333334,0.13333333333333333,0.20740740740740737,0.17259259259259258
MedGemma 4b,02_agentic,Agentic RAG,medias,Médias,0.6127333333333334,100.0,0.7733333333333334,0.20000000000000007,2.6469333333333336,6.144066666666665,0.07777777777777778,0.11851851851851851,0.09074074074074073
MedGemma 4b,02_agentic,Agentic RAG,dificeis,Difáceis,0.6357533333333333,100.0,0.8666666666666668,0.2266666666666667,3.0839333333333334,16.455733333333335,0.06666666666666667,0.1574074074074074,0.0934215167548501
MedGemma 4b,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,0.8248533333333333,60.0,0.9466666666666668,0.48000000000000004,2.7184666666666666,6.393866666666667,0.13333333333333333,0.19629629629629627,0.18611111111111112
MedGemma 4b,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.6390933333333333,100.0,0.7866666666666667,0.2133333333333334,2.9508666666666667,23.939199999999992,0.06296296296296296,0.137037037037037,0.08907407407407407
MedGemma 4b,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difáceis,0.65756,100.0,0.8800000000000002,0.24000000000000007,3.4758000000000004,26.945333333333334,0.059259259259259255,0.15,0.07971781305114639
MedGemma 4b,04_fusion,Fusion RAG,faceis,Fáceis,0.7994066666666666,40.0,0.9466666666666668,0.72,4.937066666666668,34.029399999999995,0.14814814814814817,0.14814814814814817,0.18148148148148147
MedGemma 4b,04_fusion,Fusion RAG,medias,Médias,0.6233266666666668,80.0,0.7600000000000001,0.4133333333333334,4.994466666666667,4.894666666666667,0.1111111111111111,0.1111111111111111,0.2
MedGemma 4b,04_fusion,Fusion RAG,dificeis,Difáceis,0.5990866666666667,93.33333333333333,0.7733333333333333,0.33333333333333337,8.664466666666666,6.997666666666668,0.10925925925925925,0.1222222222222222,0.17222222222222222
MedGemma 4b,05_graph,Graph RAG,faceis,Fáceis,0.81516,26.666666666666668,0.9333333333333333,0.7866666666666666,0.030733333333333345,5.435666666666667,0.14074074074074072,0.17407407407407408,0.16296296296296295
MedGemma 4b,05_graph,Graph RAG,medias,Médias,0.7093933333333333,60.0,0.9600000000000001,0.8933333333333334,0.02393333333333334,6.6786,0.06296296296296296,0.1074074074074074,0.11613756613756614
MedGemma 4b,05_graph,Graph RAG,dificeis,Difáceis,0.6706066666666667,60.0,0.8800000000000001,0.76,0.14226666666666665,61.03033333333334,0.04074074074074074,0.1074074074074074,0.09037037037037036
MedGemma 4b,07_guarded,Guarded RAG,faceis,Fáceis,0.8939266666666668,20.0,0.9733333333333333,0.7466666666666668,10.731866666666667,37.315400000000004,0.2111111111111111,0.2296296296296296,0.2185185185185185
MedGemma 4b,07_guarded,Guarded RAG,medias,Médias,0.8363600000000001,20.0,0.9466666666666668,0.8266666666666668,20.563333333333333,11.6452,0.14444444444444443,0.15555555555555556,0.15185185185185185
MedGemma 4b,07_guarded,Guarded RAG,dificeis,Difáceis,0.7545466666666667,46.666666666666664,0.9733333333333334,0.8000000000000003,17.399800000000003,52.74346666666667,0.08888888888888889,0.14074074074074075,0.16370370370370368
